20140103111557028	-10.074037	453.759424	49.924764	-0.128580	3.214500	-3.831684	1.452954
20140103111557132	-10.047290	451.421150	49.808609	-0.128580	3.214500	-3.844542	1.446525
20140103111557324	-9.977179	446.789654	49.543357	-0.135009	3.201642	-3.863829	1.440096
20140103111557408	-9.932640	444.499806	49.420791	-0.135009	3.195213	-3.870258	1.433667
20140103111557492	-9.905620	443.359425	49.362083	-0.135009	3.195213	-3.876687	1.427238
20140103111557576	-9.839830	441.080722	49.215027	-0.135009	3.188784	-3.876687	1.427238
20140103111557660	-9.804139	439.942115	49.134310	-0.135009	3.182355	-3.883116	1.414380
20140103111557740	-9.713094	437.678409	48.987167	-0.128580	3.169497	-3.883116	1.407951
20140103111557824	-9.602890	435.425018	48.856412	-0.122151	3.163068	-3.883116	1.401522
20140103111557924	-9.470096	433.179334	48.693322	-0.115722	3.156639	-3.883116	1.395093
20140103111558004	-9.396207	432.060707	48.619837	-0.102864	3.150210	-3.876687	1.388664
20140103111558092	-9.241118	429.832919	48.455190	-0.090006	3.137352	-3.870258	1.375806
20140103111558176	-9.074690	427.609125	48.296497	-0.070719	3.130923	-3.863829	1.362948
20140103111558256	-8.985908	426.507519	48.227416	-0.064290	3.124494	-3.857400	1.362948
20140103111558344	-8.808747	424.302214	48.068675	-0.045003	3.111636	-3.844542	1.350090
20140103111558424	-8.626743	422.107848	47.923639	-0.025716	3.105207	-3.838113	1.337232
20140103111558524	-8.447556	419.926496	47.771871	-0.006429	3.092349	-3.825255	1.330803
20140103111558608	-8.267807	417.755633	47.635446	0.000000	3.085920	-3.812397	1.324374
20140103111558708	-8.090691	415.589254	47.498339	0.012858	3.079491	-3.812397	1.317945
20140103111558792	-8.090691	415.589254	47.498339	0.019287	3.079491	-3.805968	1.311516
20140103111558876	-7.818632	412.368286	47.289127	0.051432	3.060204	-3.786681	1.298658
20140103111558976	-7.634164	410.222921	47.141858	0.070719	3.053775	-3.773823	1.285800
20140103111559060	-7.541421	409.157755	47.060341	0.083577	3.047346	-3.767394	1.279371
20140103111559176	-7.261369	405.968799	46.810516	0.109293	3.028059	-3.748107	1.260084
20140103111559276	-7.078471	403.853007	46.643616	0.135009	3.015201	-3.735249	1.247226
20140103111559372	-6.890470	401.740131	46.453517	0.154296	2.995914	-3.722391	1.234368
20140103111559464	-6.799490	400.688169	46.362389	0.167154	2.989485	-3.715962	1.221510
