20140103111601780	-2.960857	352.667065	42.483409	0.655758	2.610174	-3.439515	0.848628	333	261	331	254
20140103111601860	-2.863072	351.686835	42.441646	0.668616	2.610174	-3.433086	0.848628	332	256	333	250
20140103111601956	-2.591266	348.760402	42.284937	0.700761	2.603745	-3.413799	0.842199	332	259	333	252
20140103111602056	-2.393078	346.828638	42.204364	0.726477	2.597316	-3.394512	0.835770	333	258	333	252
20140103111602156	-2.209163	344.896372	42.118224	0.758622	2.590887	-3.375225	0.822912	334	259	336	253
20140103111602256	-2.017706	342.986504	42.037887	0.784338	2.584458	-3.355938	0.822912	335	258	335	253
20140103111602392	-1.820193	341.073571	41.949756	0.829341	2.571600	-3.323793	0.810054	336	259	335	252
20140103111602492	-1.630927	339.179293	41.892868	0.861486	2.571600	-3.304506	0.810054	336	259	335	253
20140103111602592	-1.442615	337.285926	41.793654	0.893631	2.565171	-3.285219	0.803625	335	259	334	251
20140103111602692	-1.260818	335.415162	41.700362	0.919347	2.558742	-3.265932	0.797196	336	258	337	251
20140103111602772	-1.077442	333.543528	41.607409	0.951492	2.545884	-3.246645	0.784338	335	260	339	251
20140103111602856	-0.905906	331.677157	41.499576	0.964350	2.545884	-3.233787	0.784338	333	261	338	252
20140103111602956	-0.733970	329.828087	41.405625	0.996495	2.533026	-3.220929	0.771480	336	260	337	253
20140103111603056	-0.570920	327.976535	41.264225	1.022211	2.526597	-3.201642	0.765051	338	261	335	255
20140103111603140	-0.493153	327.053686	41.212680	1.047927	2.507310	-3.182355	0.745764	338	264	334	254
20140103111603248	-0.356681	325.224123	41.100934	1.060785	2.500881	-3.169497	0.732906	332	259	332	253
20140103111603340	-0.236351	323.389908	40.966703	1.092930	2.481594	-3.163068	0.720048	331	262	332	254
20140103111603424	-0.186952	322.480338	40.895134	1.105788	2.468736	-3.156639	0.707190	330	263	334	255
20140103111603504	-0.096391	320.668219	40.769968	1.118646	2.455878	-3.156639	0.694332	329	261	333	254
20140103111603584	-0.028706	318.860894	40.618253	1.131504	2.436591	-3.150210	0.675045	328	261	332	255
20140103111603668	0.015869	317.061909	40.482963	1.137933	2.417304	-3.156639	0.655758	328	260	330	254
20140103111603748	0.038008	316.156851	40.424475	1.144362	2.410875	-3.156639	0.649329	326	262	327	252
20140103111603828	0.056316	314.369213	40.289372	1.144362	2.398017	-3.163068	0.636471	325	259	327	254
20140103111603912	0.062053	313.471329	40.228313	1.150791	2.391588	-3.169497	0.623613	326	260	327	254
20140103111603992	0.058970	311.685022	40.106246	1.150791	2.372301	-3.182355	0.610755	327	262	325	254
20140103111604092	0.036525	309.907521	39.989403	1.144362	2.359443	-3.195213	0.597897	326	260	322	253
20140103111604172	0.004317	308.136563	39.875182	1.137933	2.346585	-3.214500	0.585039	323	262	319	253
20140103111604256	-0.052131	306.369443	39.757998	1.125075	2.333727	-3.240216	0.565752	321	261	315	253
20140103111604340	-0.093025	305.490172	39.674094	1.118646	2.320869	-3.253074	0.559323	319	264	310	256
20140103111604420	-0.174514	303.737691	39.570718	1.105788	2.308011	-3.278790	0.546465	318	262	307	253
20140103111604500	-0.216935	302.859207	39.531083	1.092930	2.301582	-3.291648	0.540036	316	262	306	254
20140103111604636	-0.327589	301.111793	39.404400	1.073643	2.282295	-3.323793	0.520749	312	260	306	255
20140103111604732	-0.446581	299.372836	39.299143	1.054356	2.269437	-3.362367	0.507891	308	260	308	254
20140103111604816	-0.589995	297.638644	39.188963	1.022211	2.256579	-3.400941	0.495033	303	263	306	255
20140103111604896	-0.747768	295.908736	39.084634	0.990066	2.243721	-3.445944	0.482175	301	262	303	255
20140103111604992	-0.914068	294.183366	38.979959	0.957921	2.230863	-3.490947	0.469317	303	262	304	254
20140103111605072	-1.091512	292.467835	38.880813	0.925776	2.218005	-3.535950	0.456459	302	264	302	254
20140103111605172	-1.286344	290.756219	38.779099	0.880773	2.205147	-3.593811	0.443601	304	261	302	253
20140103111605276	-1.494987	289.050954	38.671946	0.842199	2.185860	-3.645243	0.424314	303	262	302	253
20140103111605372	-1.710561	287.348906	38.565629	0.797196	2.173002	-3.703104	0.411456	302	260	301	253
20140103111605476	-1.934021	285.658592	38.456627	0.752193	2.160144	-3.760965	0.398598	301	260	301	254
20140103111605556	-2.048611	284.809943	38.419497	0.726477	2.153715	-3.793110	0.392169	300	262	299	254
20140103111605656	-2.400935	282.280617	38.232263	0.675045	2.134428	-3.857400	0.372882	299	263	297	255
20140103111605756	-2.642658	280.596905	38.115148	0.623613	2.121570	-3.921690	0.353595	294	262	293	255
20140103111605856	-2.882154	278.924362	38.030225	0.572181	2.102283	-3.985980	0.340737	291	265	290	255
20140103111605940	-3.004551	278.082885	37.973599	0.520749	2.089425	-4.056699	0.321450	289	264	289	255
